source_sentence,target_sentence
The ICD-10 lists these general guideline criteria:[24] ,ICD-10 इत्ययम् एतानि सामान्यमार्गदर्शिकमापदण्डानि सूचीबद्धानि सन्ति : [1] 
"Hence, personality disorders are defined by experiences and behaviors that deviate from social norms and expectations. Those diagnosed with a personality disorder may experience difficulties in cognition, emotiveness, interpersonal functioning, or impulse control. For psychiatric patients, the prevalence of personality disorders is estimated between 40 and 60%.[5][6][7] The behavior patterns of personality disorders are typically recognized by adolescence, the beginning of adulthood or sometimes even childhood and often have a pervasive negative impact on the quality of life.[4][8][6] ","व्यक्तित्वम्, मनोवैज्ञानिकरूपेण परिभाषितः, व्यक्तिगतमनुष्याणां भेदं कुर्वन्तः स्थायिव्यवहारस्य मानसिकलक्षणस्य समुच्चयः अस्ति । अतः व्यक्तित्वविकाराः सामाजिकमान्यताभ्यः अपेक्षाभ्यः च विचलितैः अनुभवैः व्यवहारैः च परिभाषिताः भवन्ति । येषां व्यक्तित्वविकारस्य निदानं भवति तेषां संज्ञानं, भावात्मकता, पारस्परिककार्यक्षमता, आवेगनियन्त्रणं वा कष्टानि अनुभवन्ति मनोरोगिणां कृते व्यक्तित्वविकारस्य प्रसारः ४० तः ६०% पर्यन्तं भवति । [1] [2] [3] २. व्यक्तित्वविकारस्य व्यवहारप्रकाराः सामान्यतया किशोरावस्था, प्रौढतायाः आरम्भः अथवा कदाचित् बाल्यकालः अपि ज्ञायन्ते तथा च प्रायः जीवनस्य गुणवत्तायां व्यापकः नकारात्मकः प्रभावः भवति [4] [5] [6] "
"Treatment for personality disorders is primarily psychotherapeutic. Evidence-based psychotherapies for personality disorders include cognitive behavioral therapy, and dialectical behavior therapy especially for borderline personality disorder.[10][11] A variety of psychoanalytic approaches are also used.[12] ","व्यक्तित्वविकारस्य चिकित्सा मुख्यतया मनोचिकित्सा भवति । व्यक्तित्वविकारस्य प्रमाणाधारितमनोचिकित्सासु संज्ञानात्मकव्यवहारचिकित्सा, विशेषतया सीमान्तव्यक्तिविकारस्य च द्वन्द्वात्मकव्यवहारचिकित्सा च अन्तर्भवति [1] [2] मनोविश्लेषणात्मकाः विविधाः उपायाः अपि उपयुज्यन्ते । [3] "
"Personality disorders are associated with considerable stigma in popular and clinical discourse alike.[13] Despite various methodological schemas designed to categorize personality disorders, many issues occur with classifying a personality disorder because the theory and diagnosis of such disorders occur within prevailing cultural expectations; thus, their validity is contested by some experts on the basis of inevitable subjectivity. They argue that the theory and diagnosis of personality disorders are based strictly on social, or even sociopolitical and economic considerations.[14] ","।व्यक्तित्वविकाराः लोकप्रियप्रवचनेषु, चिकित्साप्रवचनेषु च समानरूपेण पर्याप्तकलङ्केन सह सम्बद्धाः सन्ति । [1] व्यक्तित्वविकारस्य वर्गीकरणार्थं विनिर्मितानां विविधानां पद्धतिगतयोजनानां अभावेऽपि व्यक्तित्वविकारस्य वर्गीकरणेन सह बहवः विषयाः भवन्ति यतोहि एतादृशविकारानाम् सिद्धान्तः निदानं च प्रचलितसांस्कृतिकप्रत्याशानां अन्तः भवति एवं तेषां प्रामाण्यं केभ्यः विशेषज्ञैः अनिवार्यविषयत्वस्य आधारेण प्रतिस्पर्धितं भवति । तेषां मतं यत् व्यक्तित्वविकारस्य सिद्धान्तः निदानं च सामाजिकराजनैतिक -आर्थिकविचारानाम् अपि आधारेण कठोररूपेण भवति । [2] "
"DSM-5 lists ten specific personality disorders: paranoid, schizoid, schizotypal, antisocial, borderline, histrionic, narcissistic, avoidant, dependent and obsessive–compulsive personality disorder. ",DSM-5 इत्यत्र दश विशिष्टाः व्यक्तित्व-विकाराः सूचीबद्धाः सन्ति : विक्षिप्तः (paranoid) मनोविदलतासदृशः (schizoid) मनोविदलताप्रकारी (schizotypal) असामाजिकः (antisocial) सीमावर्ती (borderline) नटकीयः (histrionic) अहङ्कारी (narcissistic) (सामाजिकरूपेण) परिहारी/चिन्तितः ((socially) avoidant) निर्भारः (dependent) बाध्यकारी (anancatistic) 
"""Digital Dictionary of Buddhism (entry for '施護'}"". Retrieved 2 December 2018. sources Bukkyō jiten (Ui) 620, (Soothill's) Dictionary of Chinese Buddhist Terms 303, Fo Guang Dictionary 3832 1 2 3 4 5 6 Sen 2016 1 2 3 4 5 Lu 2010, p.69 ↑ Toganō 1983, p. 131. ↑ Foguangshan dacidian 1989. ↑ Lancaster & Park 1979, p. 783-4. ","""Digital Dictionary of Buddhism (entry for '施護'}"". आह्रियत December 2, 2018. ""sources Bukkyō jiten (Ui) 620, (Soothill's) Dictionary of Chinese Buddhist Terms 303, Fo Guang Dictionary 3832"" 1 2 3 4 5 6 Sen 2016 1 2 3 4 5 Lu 2010, p.69 "
External links ,बाह्यसन्धयः 
"Muller, A. Charles, ed. Digital Dictionary of Buddhism. ","म्यूलर् ए चार्ल्स, सम्पा. बौद्धधर्मस्य अङ्कीयकोशः . "
"Edition of 12/2/2018. (log in with userID ""guest"") ",12/2/2018 संस्करणम्। 
Dānapāla or Shihu[1] (died 1017) was an Indian Buddhist monk and prolific translator of Sanskrit Buddhist sutras during the Song dynasty in China. ,दानपालः शिहू [1] चीनदेशे सोङ्गवंशकाले भारतीयः बौद्धभिक्षुः च संस्कृतबौद्धसूत्राणाम् अनुवादकः च आसीत् । 
"The emperor also bestowed honorary purple robes to Dānapāla and cohorts.[2]: 170–71 [note 4] The emperor bestowed the honorary title 'Great Master of the Manifested Teaching' on Dānapāla.[2]: 143 Dānapāla was assigned as one of the key translators of the newly founded Institute. Along with his cohorts, he thus restarted translation of Sanskrit Buddhist texts in China after a 170-year hiatus.[2]: 140 [note 5] Devaśāntika and Dharmadeva, the two other chief translators at the Institute, passed away in 1000 CE and 1001 CE respectively. He became the only the chief Indian translator left at the Institute with only the assistance of Wei Jing (惟淨), a Chinese monk trained in Sanskrit at the Institute. ","उद्याननगरस्य मूलनिवासी स ९८० तमे वर्षे सोङ्गवंशराजधानी बियान्जिङ्ग् (अधुना कैफेङ्ग् इति उच्यते) इत्यत्र भ्रात्रा देवशान्तिकेन सह आगमनात् पूर्वं उद्यानस्य वैजयन्तसङ्घरामे वज्रयानभिक्षुः आसीत्। [1] : १४९ [2] सम्राट् तैजोङ्गः सोङ्गः अधिकभारतीयबौद्धसूत्राणाम् अनुवादम् इच्छति स्म । तथापि दानपालस्य च देवशान्तिकस्य च धर्मदेवस्य चापि अनुवादसामर्थ्यस्य विषये स संशयपूर्ण आसीत् । ततः स तान् साम्राज्यप्रासादम् आमन्त्र्य स्वस्य प्रासादे स्थापितैः संस्कृतसूत्रैः तेषां अनुवादक्षमतां परीक्षितवान् । [2] यतः ते सर्वे चीनभाषायां संस्कृते च द्विभाषिण आसन्, [2] [1] : १४८–९ इति ते त्रयः सम्राजः तैजोङ्गस्य सोङ्गस्य अनुवाददक्षतायाः सन्देहं तृप्तवन्तः । ततः स ९८२ तमे वर्षे तैपिङ्गजिङ्ग्ग्वोमठस्य पश्चिमदिशि सूत्रानुवादस्य संस्थानं नाम नूतनं अनुवादकेन्द्रं निर्मितवान् । सम्राट् सदलाय दानापालाय मानदं धूम्रवर्णीयं वस्त्रं दत्तवान् । [1] : १. १७०–७१ इति सम्राट् दानपालाय 'व्यक्तशिक्षायाः महागुरुः' इति मानदम् उपाधिं दत्तवान् । [1] : १. १४३ नवस्थापितसंस्थायाः प्रमुखानुवादकेषु अन्यतम इति दानपालः नियुक्तः । एवं स स्वसमूहेन सह १७० वर्षाणां विरामस्य अनन्तरं चीनदेशे संस्कृतबौद्धग्रन्थानाम् अनुवादं पुनः आरब्धवान् । [1] : १. १४० इति संस्थायाः अन्यौ मुख्यानुवादकौ देवशान्तिकश्च धर्मदेवश्च क्रमशः १००० ख्रिष्टाब्दे च १००१ ख्रिष्टाब्दे दिवङ्गतौ। संस्थायां संस्कृतभाषायां प्रशिक्षितस्य चीनदेशस्य भिक्षोः वेयी जिंग् (惟淨) इत्यस्य साहाय्येन एव स संस्थायाम् अवशिष्टः एकमात्रः मुख्यः भारतीयः अनुवादकः अभवत्। १००६ तमे वर्षे अन्यः भारतीयः अनुवादकः धर्मपालः तस्य कार्ये सहायार्थम् आगतः । [2] [1] : १. १५० इति समग्रतया स शताधिकानि सूत्राणि शास्त्राणि स्तोत्राणि च अनुवादितवान् येभ्यो वज्रयानबौद्धधर्मस्य चीनावबोधने तस्य लोकप्रियतायां च महत् योगदानम् अभवत् [4] "
Legacy ,आख्येयम् 
"The important Vajrayana root text Sarvatathāgata Tattvasaṃgraha Tantra was originally translated by Amoghavajra into Chinese during the 8th century CE, but it was an incomplete translation. Dānapāla was part of the team of translators who re-translated the entire Sarvatathāgata Tattvasaṃgraha Tantra. Dānapāla's contribution included the 1st and 14th-16th out of 18 sections. ",महत्त्वपूर्णः वज्रयानमूलग्रन्थः सर्वतथागततत्त्वसङ्ग्रहतन्त्रः मूलतः अमोघवज्रेण ८ शताब्द्यां चीनभाषायाम् अनुवादितः परन्तु तद् अपूर्णः अनुवाद आसीत्। दानपालः अनुवादकदलस्य सदस्य आसीत् यः दलः सम्पूर्णस्य सर्वतथागततत्त्वसङ्ग्रहतन्त्रस्य पुनः अनुवादं कृतवान् । दानपालस्य योगदाने अष्टादशखण्डेषु प्रथमश्च षोडशश्च सप्तदशश्च अष्टादशश्च आसन्।।अन्येषु वज्रायनसूत्रेषु स मायोपमसमाधिसूत्रस्य अपि अनुवादं कृतवान् । दानपालः अनेकान् अवज्रायणग्रन्थान् यथा नागार्जुनस्य युक्तिषष्टिकां च महायानविंशकं च दिङ्नागस्य प्रज्ञापारमितापिण्डार्थम् इत्यादीन् अपि च अष्टसाहस्रिकाप्रज्ञापारमितायाः काञ्चन संस्करणं च संयुत्तनिकायस्य संस्कृतसंस्करणं चन्द्रोपमसूत्रनामधेयं च प्रज्ञापारमिताहृदयं चापि भाषान्तरीकृतवान्। 16.3. 
"He also translated other Vajrayana sutras such as Māyopamasamādhi Sutra among others. Dānapāla also translated many non-Vajrayana texts such as the Nāgārjuna's Yuktiṣaṣṭikā, Mahāyānaviṃsaka, Dignāga's Prajñāpāramitāpiṇḍārthaḥ as well as a version of the Aṣṭasāhasrikā Prajñāpāramitā Sūtra, the Heart Sutra entitled 'The Holy Mother of [All] Buddhas Prajñāpāramitā Sūtra' and the Candropama Sūtra the Sanskrit version of Saṃyutta Nikāya 16.3.[1][5][note 8][6] ",[1] [5] [6] 
"The Kukkutura sangharāma was later destroyed and its monks killed by Pushyamitra Shunga, according to the second century Ashokavadana. ""Then King Pushyamitra equipped a fourfold army, and intending to destroy the Buddhist religion, he went to the Kukkutarama. (...) Pushyamitra therefore destroyed the sangharāma, killed the monks there, and departed.""[1] ",सङ्घरामः ( अ॰सं॰लि॰व॰ Saṃgharāma ) इत्युक्ते मन्दिरं वा मठं वा इति। अत्र सोद्यानं वा सवनं वासङ्घः नाम बौद्धमठसमुदायः निवसति । पाटलिपुत्रे कुक्कुटरामस्य प्रसिद्धः सङ्घराम आसीत् | पश्चात् कुक्कुटुरामस्य सङ्घरामस्य नाशः अभवत्। तस्य भिक्षवः पुष्यमित्रशुङ्गेन मारिताः द्वितीयशताब्द्या अशोकवदनानुसारम् | तदा राजा पुष्यमित्रः चतुर्विधं सैन्यं सुसज्ज्य बौद्धधर्मस्य नाशं कर्तुम् अभिलषन् स कुक्कुटरामम् अगच्छत् इति लिखितम्। पुष्यमित्रः ततः सङ्घरामं नाशयित्वा च तत्र भिक्षून् हत्वा प्रस्थितः चेति [1] । 
Notes ,टिप्पण्यः 
"Shukla has translated 100 Ghazals of Rumi along with several appendices, directly from Persian into Hindi. The book was recently launched in Iran’s Art Bureau in the presence of the author.[7] Literary critics have immensely praised the book for being a pioneering work in Hindi and as a model for translation. From a review in The Hindu : ""The book is a model of how translations of poetic works should be presented so that the readers may become familiar not only with the beauty of the poetry but also the richness of the literary traditions of that language, history of translations, meaning of words and basic principles of its grammar.""[8] ","बलरामो रूमिणः शतगझलगीतैः सह अनेकपरिशिष्टानां फारसीभाषया हिन्दीभाषायां भाषान्तरं कृतवान् अस्ति। अद्यैव इराणस्य कलाब्यूरो इत्यत्र लेखकस्य उपस्थितौ पुस्तकस्य विमोचनं कृतम्। साहित्यसमीक्षकाः अस्य पुस्तकस्य हिन्दीभाषायां अग्रणीकृतित्वेन अनुवादस्य आदर्शत्वेन च अत्यन्तं प्रशंसाम् अकुर्वन् । सम्प्रति स भारतीयसामाजिकाऽनुसन्धानपरिषदा प्रायोजितयोः मेण्ड् मौरेलिटि एण्ड् मोटिभ्स् : लर्णिङ्ग् फ्रौम् इण्डियन् ट्रडिशन् ॥ आङ्ग्ले Mind, Morality and Motives : Learning from Indian Tradition इति ॥ च इण्डवीराणियन् कोग्नेट् ग्लौसरी ॥आङ्ग्ले Indo-Iranian Cognate Glossary॥ चेत्येतयोः अनुसन्धानं करोति। "
"Shukla's Persian odes have recently been collected in a volume called ""Haft Shaair az Fardaa"" which contain sample-poems of 7 non-Iranian young Persian poets.[9] ",बलरामस्य फारसीगीतयः सद्यः हफ्त शायर् अज् फर्दा इति खण्डे सङ्गृहीताः सन्ति येषु सप्तानीराणियुवानां फारसीकविनां प्रतिरूपकविताः सन्ति। [1] 
Awards and honours ,पुरस्काराश्च सम्मानाः 
Shukla has been conferred many honours.[1] Some of these are ,बलरामाय अनेकाः सम्मानाः प्रदत्ताः सन्ति। [1] तेषु केचन अधो लिखिताः। 
"Pratap Narayan Mishra Yuva Sahityakara Samman"" conferred by Bhaurao Deoras Seva Nyas, Lucknow on 2 October 2017[10] Shukla has three Sanskrit poetry collections to his credit. One amongst them is ""Parivaahah"" which has been published by Sahitya Akademi Delhi ( ISBN 978-81260-4787-1) This book also have been awarded with ""Kalidasa Samman"" by Uttar Pradesh Sanskrit Sansthan in 2018.[11] 2021: Conferred with the “Mahakavi Kalidasa Sanskrit-Vrati National Award[12]” by Kavikulguru Kalidasa Sanskrit University, Ramtek, Nagapur (Maharashtra). 2022: Conferred with the “Mahakavi Kalidasa Sanskrit-Vrati National Award” by Kavikulguru Kalidasa Sanskrit University, Ramtek, Nagapur (Maharashtra).[13][14] ",२०१२ तमे ख्रिष्टाब्दे दिल्लीविश्वविद्यालये फारसीभाषायाः कलास्नातकोत्तरपाठ्यक्रमे स्वर्णपदकं प्रदत्तम्। [1] २०१२ तमे ख्रिष्टाब्दे ईराणस्य तत्कालीनराष्ट्रपतिना महमूदाहमदीनेजाद् इत्यनेन फारसीसाहित्ये योगदानस्य कृते सम्मानितः। [2] २०१३ तमे ख्रिष्टाब्दे भारतस्य तत्कालीनेन राष्ट्रपतिना प्रणबमुखर्जिना महर्षिबद्रायणव्याससम्मानः प्रदत्तः। [3] २०१७ तमस्य ख्रिष्टाब्दस्य अक्टूबरमासस्य द्विदिनाङ्के पण्डितप्रतापनारायणमिश्रयुवसाहित्यकारसम्मानः लक्ष्मणपुरस्य ॥लखनऊ॥ भोरावदेवरससेवान्यासेन प्रदत्तः। [4] तल्लिखितः परिवाहः साहित्याऽकादमीसंस्थया प्रकाशितश्च उत्तरप्रदेशसंस्कृतसंस्थानेन २०१८ तमे ख्रिष्टाब्दे कालिदाससम्मानप्रदत्तः अस्ति। [5] २०२२ तमे ख्रिष्टाब्दे कविकुलगुरुकालिदाससंस्कृतविश्वविद्यालयेन महाकविकालिदाससंस्कृतव्रतिराष्ट्रीयपुरस्कारः प्रदत्तः।[6] [7] 
Views ,दृष्टिः 
"Shukla believes that Sanskrit and Persian have around 350 similar words, owing to their common origin.[1] Shukla says that the influence of some Persian poets like Rumi and Hafez Shirazi is seen in the poetry of several Indian languages including Sanskrit,[2] as well as on Persian poets from India like Bedil Dehalvi.[2] Regarding Sanskrit poetry, Shukla believes that even today, Sanskrit poetry is being composed in the same metres and on the same topics as in Vedic times, and that India has poets who can compose poetry like Valmiki and Vyasa even today.[2] ",बलरामस्य मतो यत् संस्कृतभाषायां फारसीभाषायां च प्रायः ३५० समानाः शब्दाः सन्ति। [1] बलरामः कथयति यत् रूमी च हाफिज् शिराजी चेत्यादीनां केषाञ्चन फारसीकविनां प्रभावः संस्कृतसहितानाम् अनेकानाम् भारतीयभाषाणां काव्येषु दृश्यते [1] अपि च बेदिल्देहलवी इत्यादिषु भारतस्य फारसीकविषु अपि दृश्यते। [1] संस्कृतकाव्यस्य विषये बलरामस्य मतो यत् अद्यत्वे अपि वैदिककालस्य समानेषु छन्दःसु च समानेषु विषयेषु च संस्कृतकाव्यस्य रचना भवति। अद्यत्वे अपि वाल्मीकिव्यासेत्यादीनां काव्यरचने शक्नुवन्तः कवयो भारते सन्ति चेति। [1] 
Works ,कृतयः 
Books ,ग्रन्थाः 
"Published by Sahitya Akademi Shukla, Balram (2017) ‘Kavitāputrikājātiḥ’, (an original Sanskrit poetry collection) New Delhi: Rashtriya Sanskrit sansthan, ISBN 978-93-82091-68-4 Shukla, Balram (Trans.)(2018) Nihshabd-Noopur (Collection and Hindi Translation of Rumi’s 100 Ghazals). New Delhi : MGAHV Wardha and Rajkamal. ISBN 978-93-88183-25-3 Shukla, Balram (Ed.)(2019) Śatāvadhāniracanāsaṃcayanam (Edited 7 beautiful compositions of modern Sanskrit poet Śatāvadhānī Dr. R. Ganesh with elaborate introduction and 600 notes to the same). ","आधुनिक संस्कृत साहित्य संचयन इति नाम भारते आधुनिकसंस्कृतकाव्यविषये हिन्दीसंशोधनग्रन्थस्य सम्पादको बलरामशुक्लः। देहल्या विद्यानिधिप्रकाशनात्। ISBN 978-81-86700-86-0 इष्ग्वतेश ॥फारसीभाषायांعشق و آتش ॥फारसीकाव्यसङ्ग्रहः। तेहरानस्य ईराणमिधत्प्रकाशनात्।ISBN ९७८-६००-५३१२-११ -९ . भारतीय एवं पाश्चात्त्य वाक्यार्थ सिद्धान्त नाम वाक्यार्थस्य भारतीयपाश्चात्यसिद्धान्तानां विषये हिन्दीसंशोधनग्रन्थस्य लेखकः । नवदेहल्याः प्रतिभाप्रकाशनात्। ISBN 978-81-7702-335-0 . मोहताशमकाशनिनः दवाजदेहबन्दस्य हिन्द्यनुवादः। रामपुरस्य रामपुररजापुस्तकालयात्। ISBN 978-93-82949-20-6 . लघुसन्देशं नाम लघुसंस्कृतकाव्यसङ्ग्रहः। ISBN 978-93-85539-03-9 . परिवाहः नाम संस्कृतकाव्यसङ्ग्रहः ।ISBN ९७८-८१-२६०-४७८७-१ससाहित्याऽकादमीद्वारा प्रकाशितः कवितापुत्रीकाजातिः मूलसंस्कृतकाव्यसंग्रह। नवदेहल्या राष्ट्रीयसंस्कृतसंस्थानात्। निःशब्दनूपुर नाम रूमिणः शतगझलगीतानां सङ्ग्रहश्च हिन्द्यनुवादः। नवदेहल्या राजकमलप्रकाशनात्।ISBN ९७८-९३-८८१८३-२५-३ इति शतावधानिरचनासञ्चयनं नाम आधुनिकसंस्कृतकवेः शतावधानिनो डो आर् गणेशस्य सप्तसुन्दररचनासु विस्तृतपरिचयेन च ६०० टिप्पणिभिः सह सम्पादितम्। नवदेहल्या साहित्याऽकादमीतः। ISBN 978-93-89195-01-9 झाफ्रानोसन्दल ॥फारसीभाषायाम् زعفران و صندل ॥ फारसीगझलसङ्ग्रहः तेहरानतः। [1] पश्यन्ती नाम पञ्चसप्ततेः समकालीनसंस्कृतकविनां काव्यसङ्ग्रहः। प्रयागराजस्य राकाप्रकाशनात्। ISBN ९७८-९३-९०९६४-२७-७ पश्यन्ती (75 समकालीन संस्कृत कवियों के काव्य संग्रह), प्रयागराज: राका प्रकाशन। ISBN ९७८-९३-९०९६४-२७-७ निःशब्दनूपुरस्य द्वितीयसंस्करणम्। दिसम्बरमासः २०२१ ISBN ९७८-९३-९०९७१-६२-६ "
Example poetry ,काव्योदाहरणम् 
"Shukla's symmetrical (in the same metre) translation into Sanskrit of the opening couplets of Rumi's Masnavi, along with the 1898 English translation by Edward Henry Whinfield:[1] ",बलरामस्य समछन्दोऽनुवादः रूमिणो मश्नवी इत्यस्य उद्घाटनद्वयस्य संस्कृतभाषायाम् [1] 
A Sanskrit verse by Shukla:[1] ,बलरामेण रचित एकः संस्कृतश्लोकः [1] 
"सर्वाङ्गं मलयजगन्धवन्द्यमानं किं भूयो निटिलतटे पटीरचर्चा। संजाता मम धमनी ससूत्रजाला संशीर्णा पुनरुपवीतसूत्रतः किम्॥ When all my limbs have the fragrance of sandalwood, why should I adorn my forehead alone with the tilaka? When all my nerves have become thin as threads, what is the need of the sacred thread? ",सर्वाङ्गं मलयजगन्धवन्द्यमानं किं भूयो निटिलतटे पटीरचर्चा। संजाता मम धमनी ससूत्रजाला संशीर्णा पुनरुपवीतसूत्रतः किम्॥ 
"Balram Shukla (Hindi: बलराम शुक्ल; born 19 January 1982)[1] is an academician, poet and author based in New Delhi.[2] He is a self-taught scholar of Sanskrit and Indian literature.[2] He works as a professor of Sanskrit at the University of Delhi. He is a scholar of Sanskrit, Hindi, Urdu, Persian and Prakrit.[3][1] He writes poetry in both Sanskrit and Persian,[3] and also translates Persian poetry into Sanskrit using the same poetic metres.[2] He has been awarded the Badrayan Vyas Award for Sanskrit in 2013 by the President of India.[4] He has authored eight books. ",बलरामशुक्लः ॥आङ्ग्ले Balram Shukla॥ [1] नवदेहल्या एकः शिक्षाविदः कविः लेखकश्च वर्तते। [2] स संस्कृतस्य भारतीयसाहित्यस्य च स्वशिक्षितो विद्वान् अस्ति । [2] स दिल्लीविश्वविद्यालये संस्कृतस्य प्राध्यापकरूपेण कार्यं करोति। स संस्कृतस्य हिन्द्या उर्दूभाषायाः फारसीभाषायाः अपि चप्राकृतस्य विद्वान् अस्ति । [3] [1] स उभयोः संस्कृते फारसीभाषायां च काव्यं रचयति। [3] अपि च समानछन्दोभिः फारसीकाव्यं संस्कृते भाषान्तरीकरोति। [2] भारतस्य राष्ट्रपतिना २०१३ तमे वर्षे संस्कृतस्य बद्रायणव्यासपुरस्कारेण पुरस्कृतः अस्ति। [4] अष्टपुस्तकानि अनेन रचितानि सन्ति। 
"Shukla hails from Sohrauna Raja village in Maharajganj, Uttar Pradesh.[5] His father is a retired school teacher.[6] His initial education was at Maharajganj.[6] He received a Bachelor of Arts degree from Gorakhpur and Master of Arts degrees in Sanskrit and Persian from University of Delhi.[6] Shukla topped in both subjects and received the C D Deshmukh gold medal.[6] Shukla then received a PhD in Sanskrit grammar from the University of Delhi.[6] Shukla took up research in Persian after completing his research in Sanskrit.[3] ",बलराम उत्तरप्रदेशस्य महाराजगञ्जस्य सोहरौनाराजाग्रामस्य निवासी अस्ति। [1] तस्य पिता सेवानिवृत्तो विद्यालयशिक्षकोऽस्ति। [2] तस्य प्रारम्भिकशिक्षा महाराजगञ्जे जाता। [2] गोरखपुरतः कलास्नातकपदवीं तथा च दिल्लीविश्वविद्यालयात् संस्कृतभाषायां फारसीभाषायां च कलापरास्नातकपदवीं प्राप्तवान्। [2] बलराम उभयविषयेषु शीर्षस्थानं प्राप्य सिडिदेशमुखस्वर्णपदकम् अपि प्राप्तवान्। [2] ततो बलरामो दिल्लीविश्वविद्यालयात् संस्कृतव्याकरणविषये विद्यावाचस्पतिपदवीं प्राप्तवान्। [2] बलरामः संस्कृते अनुसन्धानं सम्पद्य फारसीभाषायाम् अनुसन्धानं प्रारभत। [3] 
"Since 2004, Shukla has taught in various colleges affiliated to the University of Delhi, including Hindu College and Hans Raj College.[1] Currently, he is a professor in University of Delhi's Department of Sanskrit.[1] ",२००४ तमात् वर्षात् बलरामो दिल्लीविश्वविद्यालयेन सह मानितेषु विभिन्नेषु महाविद्यालयेषु अध्यापनं करोति यथाहिन्दूकोलेज् हंसराजकालेज् इत्येतयोः। [1] सम्प्रति स दिल्लीविश्वविद्यालयस्य संस्कृतविभागे प्राध्यापकोऽस्ति । [1] 
"Presently, he is doing research as a fellow at the Indian Institute of Advanced Study (IIAS) Shimla, on the topic ""प्राकृत कविता के चारुत्व के भाषिक प्रयोजक"". His research aims at identifying and explicating those linguistic peculiarities of Prakrit languages which have been exploited by poets to embellish their poetry and transcend the beauty of prior literature. ",२०२२ तमस्य वर्षस्य फेब्रुवरीमासे तेन शिमलाया भारतीयोच्चाऽध्ययनसंस्थाने प्राकृत कविता के चारुत्व के भाषिक प्रयोजक इत्यस्मिन् विषये अनुसन्धानं सम्पन्नम्। 
Recognition ,ख्यातिः 
"Shukla is recognized as one of the foremost young scholars of Sanskrit today.[1] He is well known in India and Iran for his knowledge of Sanskrit and Persian, his expertise in Sanskrit grammar, and his poetry in Sanskrit.[2] He often translates Persian poetry into Sanskrit in the same metre as the original.[2] ",बलरामोऽद्यत्वे संस्कृतस्य अग्रणियुवविद्वान् स्वीकृतः अस्ति। [1] स भारते ईरानदेशे च संस्कृतफारसीज्ञानाय च संस्कृतव्याकरणस्य निपुणतायै च संस्कृतस्य काव्यार्थं च सुप्रसिद्धोऽस्ति । [1] स प्रायः फारसीकाव्यस्य समानछन्दोभिः संस्कृते भाषान्तरीकरोति । [1] 
Narendra Singh Negi has been awarded the Sangeet Natak Akademi Award in Delhi on 9 April 2022. Chief Minister Pushkar Singh Dhami has congratulated the state's folk singer Narendra Singh Negi for being honored with the prestigious Sangeet Natak Akademi Award at the national level. He said that the honor given to Narendra Singh Negi in the field of traditional folk songs is also the honor of the state.[12][13][14][15][16] ,नरेन्द्रसिंहनेगी ९ एप्रिल २०२२ दिनाङ्के दिल्लीनगरे संगीत नाटक अकादमीपुरस्कारेण पुरस्कृतः अस्ति । मुख्यमन्त्री पुष्करसिंह धामी राज्यस्य लोकगायकं नरेन्द्रसिंहनेगीं राष्ट्रियस्तरस्य प्रतिष्ठितसङ्गीतनाटक अकादमीपुरस्कारेण सम्मानितस्य अभिनन्दनं कृतवान्। पारम्परिकलोकगीतक्षेत्रे नरेन्द्रसिंहनेगी इत्यस्मै यः सम्मानः दत्तः सः अपि राज्यस्य गौरवम् इति उक्तवान् । [1] [2] [3] [4] [5] 
"On the occasion of Hindi Diwas (15 September 2021), the folk singer of Uttarakhand, Narendra Singh Negi has been honored with the Awaaz Ratna Award 2021.[17] ",हिन्दी दिवसस्य अवसरे (१५ सितम्बर २०२१) उत्तराखण्डस्य लोकगायकः नरेन्द्रसिंह नेगीः २०२१ तमस्य वर्षस्य आवाजरत्नपुरस्कारेण सम्मानितः अस्ति । [1] 
"Narendra Singh Negi (born 12 August 1949), also referred as 'Garh Ratan' and 'Bob Dylan of the hills' is one of the most prominent folk singers, composer and a poet of the Garhwal and Uttarakhand who prominently sings in Garhwali language.[1][2] Reportedly, he has sung more than 1000 songs.[3] His unparalleled work in the field of folk music of Uttarakhand is an inspiration for all the upcoming singers of Uttarakhand.[4][5][6][7][8] ","नरेन्द्रसिंहनेगी (जन्म १२ अगस्त १९४९), 'गढ़ रतन' तथा 'पहाडानां बॉब डायलन' इति अपि उच्यते, सः गढ़वालस्य उत्तराखण्डस्य च प्रमुखेषु लोकगायकेषु अन्यतमः, संगीतकारः, कविः च अस्ति यः गढ़वालीभाषायां प्रमुखतया गायति । [1] [2] कथ्यते यत् सः १००० तः अधिकानि गीतानि गायितवान् अस्ति । [3] उत्तराखण्डस्य लोकसङ्गीतक्षेत्रे तस्य अप्रतिमं कार्यं उत्तराखण्डस्य आगामिनां सर्वेषां गायकानां कृते प्रेरणादायकम् अस्ति । [4] [5] [6] [7] [8] "
